country,title,university,url,members,summary
India,MASS,Mumbai University,https://www.atositchallenge.net/idea/mass/,Likhesh Kolhe | Akash Singh | Mayur Shevate | Aniket Jadhav,"Designing MASS for people situated in rural or remote areas to provide primary health care facility using Information and Communication Technology(ICT). The input would be given by the user through multiple ways. The medicine prescribed by the process is verified by the doctors using the concept of AI. Feedback would also be taken by the system using chatbot.If the feedback for effect of medicine is negative doctor assistance will be given through ICT next day itself. The entire ICT system uses Neural Network to decide the medicine for prescription.  Data analytics is used to predict any epidemic disease that might have spread in the village. 
Currently our system works in 4 stages - patient, MASS, doctor, medical store .These 4 stages are implemented using 4 machines. The patient sends voice message which is converted into text and sent to the MASS, where keyword/symptoms are extracted which is given to the Neural Network as input. It processes the input and gives prescription as the output which is sent to the doctor for verification. The verified medicine is sent to the patient as well as medical store. The prescription that goes to the patient through MASS is in encrypted format to provide security using hashing algorithms. MASS maintains a history of the patients. Currently the company TCS is also working on a similar type of system as per our knowledge."
India,Crop disease identifier App,RMK Engineering College,https://www.atositchallenge.net/idea/crop-disease-identifier-app/,Manjula M | Manonmani M | Lavanya R | Jayanthi P,"This app is based on identification of crops, weeds, diseases and pest damage and nutrient deficiency symptoms. It uses camera to identify diseases and symptoms and also algorithms    for object detection, and image classification Pattern recognition to provide a close match for all possible inputs are used in this process. "
India,Shopping Assistant -Tia,Mumbai University,https://www.atositchallenge.net/idea/shopping-assistant-tia/,Jaya Mishra | shivam sharma,"The team Xperts presents the idea of “Shopping Assistant” named as “Tia”. 
Shopping assistant is an artificial intelligence bot developed on raspberry pi module using google AIY. The module will help the market to bind their customers by providing special features for registered users and some generic features for trial account  customers.
It has simple and straightforward methodology which can help to bring more efficiency in marketing goods. It has simple and clean user interface which will be easy to handle for customers of all age groups.
The product size is not too bulky to take much space. It is also helpful in displaying advertisements of the products which gives idea to the customers to buy products. The bot system is quite attractive and eye-catching so it can attract many customers as a result it can increase the product sale growth. 
It increases the efficiency of the customers by taking voice command  input and giving back voice response or displaying the result. The most important feature which makes it stand apart, “it updates the shopkeeper about the goods which are popular”, which will help the manager in better analysis of the products and helps shopkeeper to investigate in profitable goods.
"
Singapore,LIT,Nanyang Technological University,https://www.atositchallenge.net/idea/lit/,Yi Chen Lin | Marcus Teo,"LIT: Literacy Innovative Technology. LIT will be a chatbot to help a user automate conversations with other people. LIT will be taught to be literate in words and their context rather than only recognise coded commands. LIT aims to emulate human basic critical thinking to be an effective chatbot.

A key literacy skill LIT will have is to comprehend text from various angles and thus formulate thoughtful and insight responses, much like real human conversation. To achieve this, LIT will be imbued with basic critical thinking skills, which can be broken down into many simple tasks that are coordinated together.
"
Kong,ChatBot for  Oversea Students,City University of Hong Kong,https://www.atositchallenge.net/idea/chatbot-for-oversea-students/,San Kui Wong | Ka Hai Law,"This will be a chat-bot that provide advice for students who study oversea advice.From choice of school to application of scholarship or advice for students who want to work there after graduation.And this target students who have a middle-income family background as these students often do not have money to go to the professional agency for advice.And the chat bot will also provide information about international competition ,intern and oversea interchange program for undergraduate  students as well.And maybe its will arrange a study plan for students who want to pursuit a PHD in oversea(particular mainland student) and this chatbot will run like a paywall service to different secondary schools.And the agencies will also able to rent this service as well and maybe even customize their chat bot as well that if they have any special offer for their customers and the foreign study agencies can order an adjustments  and this chat was aimed to assist the agent with the less experience as well . And so these companies can provide professional advice for students at a lower cost so they can lower the price as well. 

"
Philippines,AniApp,Asia Pacific College,https://www.atositchallenge.net/idea/aniapp/,Ivan Jasper Evangelista | Dianne Erika Uy | Emmanuel Devera | John Matthew Fonacier,"Agriculture is one of the big factors that boost the economy in various parts of the world, making agriculture a vital part of every country’s success. In the different areas, despite having large tracts of fertile lands majority are not used and left uncultivated, while establishing food security is a continuing and sometimes daunting struggle, not only because of global warming and other uncontrollable factors such as destructive weather, but also the lack of young farmers doing the job. The worldwide average age of farmers is around 60, which is increasing at an alarming rate, that is why the known solution is to automate some processes that farmers do. However, it is still for naught as relying one source of food supply could lead to detrimental consequences to the food security of every household. 
To help compensate for the lack of farmers, individuals who have no clue about farming must have a way to grow its own crop. The researchers wanted to incorporate innovation to the process of soil testing by creating a device that can assess the soil’s condition along with its Android application to provide soil analysis to the different areas of the world, on a global standpoint it will provide insight on different countries and its regions what crops they can cultivate in their area, while on the farmer’s and individual’s standpoint the result would in turn provide a list of crops that can be cultivated on that specific soil making it easy not only for farmers but also for individuals who are interested to grow their own crop, but to continually encourage people to use the device and the application, we intend to include an e-market for people who wants to sell agriculturally related products and a forum for people to communicate about different topics relating to agriculture. "
Philippines,Identifying Fake News,Asia Pacific College,https://www.atositchallenge.net/idea/identifying-fake-news/,Marc Anthony Nares | Wyatt Zeus Holgado | Aleo Ralph De Leon,"Fake news is a deliberate misinformation or hoax that spreads via traditional print, broadcast news media or online social media. It misleads people and makes the world less informed. It harms the community and the industry at an alarming level.

Fake news can be lessened or better yet eliminated since people keep falling such posts; it needs to be stopped. This project is meant to do just that; the program we are proposing is meant to detect if the news posted in your social media websites is fake or not, which would literally get marked as a fake if it is one. This program will be a plugin for the users’ internet browsers, but will only work for social media sites, and will not detect if posted news are fake from other websites.  To identify fake news  the first step is we will compare the link to our list of fake news in the database. Second is to extract the text from an image to compare and identify if it is a fake news or not. "
India,Brain controlled car for disabled Persons,R.M.K. College Of Engineerig and Technology,https://www.atositchallenge.net/idea/brain-controlled-car-for-disabled-persons/,Srinath S | Padmesh Kannan V R | Nagarjun V | Prabhu Venkatesan,"The development of a brain driven car, which would be of great help to the physically disabled people. Since these cars will rely only on what the individual is thinking they will hence not require any physical movement on the part of the individual. It also has an automatic navigation system in case of emergency. "
India,VIRTUAL TEACHER,RMK Engineering College,https://www.atositchallenge.net/idea/virtual-teacher/,Varsha S | Preethi P,"The idea behind VIRTUAL TEACHER is to develop an holographic image which acts as a virtual human(teacher) i.e; to create an illusion of a 3-D figure. This virtual teacher can be used to deliver lectures in e-learning or interactive learning modes. Virtual teacher is fed  to teach a particular session assigned to it along with interactions which allows question answer sessions with students. Thus the whole idea is to provide an interactive and interesting  learning process to the upcoming generations.
"
India,Facial sketching via AI.,Dr. A.P.J. Abdul Kalam Technical University,https://www.atositchallenge.net/idea/facial-sketching-via-ai/,Harsh Sharma | Harshranjan Rai | Shailesh Kumar Jha | Ram Tayal,"In every crime  scene the suspects are sketched with the help of those who have encountered them during that scene.Thus using a software that would retrieve input from the user and display the desired output in a 360* image display  that too with every possible facial expression the suspect would act including all the 3D poses.
All the steps which included human intervention is now given to a deeply learned software that would generate,detect and alert on the basis of the input provided.

Thus the culprit may move to any place of the world,if their are cameras or any link to a visual recording being used at places the software would filter out results from the input and will try to identify the suspect's 3D figure.

Thus initiating with a prototype generally requires with the cost of making it and its sucess rate,thus it would include-

->Estimating the basic cost of developing this prototype and its level of success attainment.

->Feeding the software with every possible human pose and expression that would ease in making a 3D model of that input. Thus requires a hefty image data of thousands.

->Big Giants IT companies could help in the data related to images.

->Creation of a team which could make it happen,generally covered in HR.

->Successful testing of the prototype using all bizarre inputs one can give.

->Collaborations with big firms or Sponsors to hike up its popularity.

"
Malaysia,Semico ;,Asia Pacific University of Technology and Innovation,https://www.atositchallenge.net/idea/semico/,Joshua Jebaraj | Abdullah Fakher | Filbert Joshua | Naavenesh Rao," Depression has been a major issue, that most commonly leads to suicide. Depression (major depressive disorder) is a common and serious medical illness that negatively affects how you feel, the way you think and how you act. Depression causes feelings of sadness and/or a loss of interest in activities once enjoyed. It can lead to a variety of emotional and physical problems and can decrease a person’s ability to function at work and at home.  Depression affects an estimated one in 15 adults (6.7%) in any given year. And one in six people (16.6%) will experience depression at some time in their life. Depression can strike at any time, but on average, first appears during the late teens to mid-20's. 

In recent suicide case, Linkin Park Vocalist, Chester Bennington has shed a light on depression and suicide.  We are here to develop an AI chat-bot that helps depressed individuals to talk and open up to without having the fear of being misjudged, which in return helps lessen their depression and suicidal thoughts.  The app name is based on a movement; Project Semicolon - stylized as Project; - is an American mental health nonprofit organization that primarily functions as an anti-suicide initiative. Based on the statistics of the organisation, most suicide cases; who have survived was related to depression."
India,SMART PARKING SOLUTIONS,Pune university,https://www.atositchallenge.net/idea/smart-parking-solutions/,YASH KULKARNI | VAIDEHI KULKARNI,"With the growing number of vehicles and the consequent shortage parking space, there is haphazard and totally unregulated parking of vehicles all over. The solution calls out for an automated parking system that not only regulates parking in a given area but also keeps the manual control to a bare minimum.
Traffic congestion caused by vehicle is an alarming problem at a global scale and it has been growing exponentially. Car parking problem is a major contributor and has been, still a major problem with increasing vehicle size in the luxurious segment and confined
parking spaces in urban cities. Searching for a parking space is a routine (and often frustrating) activity for many people in cities around the world. This search burns about one million barrels of the world’s oil every day. As the global population continues to urbanize, without a well-planned, convenience-driven retreat from the car these problems will worsen. With lots of innovations and smartness in things they all need to be intelligent too, don't they?
"
India,Meal Preppers,PES University,https://www.atositchallenge.net/idea/meal-preppers/,Harshini D | Bhagyashree B R,"          In this busy everyday life of ours,  people have grown to admit that compromise and sacrifice are some of the key components for a blissful and harmonious coexistence.  This isn't necessarily always true and one of the areas people are unfortunately compromising on is - Food.   Lack of time and energy level is what is causing us to pay lesser attention to what we feed our system, not to mention the poisonous promise of convenience  fast food offers, be it through taste or lesser time spent waiting for food to be served  .
          Food is one of the next to basic necessities of life ( after oxygen, water, shelter and clothing) and we need to be paying more attention to what we take in than what we have been led to believe.  Our body can also be as efficient as the quality of its fuel( here, food). What we should be foreseeing in the near future as far as this important gateway to good health is concerned is  - to reduce the appeal junk, fast, preserved and canned food has on us by provide significantly better alternatives which are just as ""tasty"" and whose effect  on our performance (physically and mentally) can be observed for the better in no time.
          This is where Meal Preppers come in and with our effective solution taking into account problems faced when  people switch to healthy is what is going to make us stand out in a domain with such fierce competition. We have identified two parameters which actually determines what people  eat ( time and energy level) and  what should determine what people eat. ( how many calories they require based on their lifestyle). Taking into account these two parameters, we have raked up an algorithm which is gonna make not just planning your meals but also prepping them (based on your need) oh-so-easy. We also provide bonus  materials like monthly detoxes, everyday mindfulness along with tracking so this can be your go-to  health monitor. Moreover, all this is incorporated using AI  which makes it all the more cooler."
Senegal,Gindima,Ecole Polytechnique de Thiès,https://www.atositchallenge.net/idea/gindima/,Ibrahima Darou Sarr DIOP | El Hadji Abdoulaye THIAM | Fallou DIENG | Adja Coumba SAMB,"To expain what is Gindima in a few words :
It's a wonderfully designed messenger bot  that is smooth and easy to use. 
It uses a natural language processing and understanding to give fast and reliable answers to users.
It replies to questions in the most human way and understands automatically the language you’re using. So the more people talk to it the smarter it becomes.
Gindima's most intuitive feature is that it is like an improved search engine helping the user to search and access the right information. 
The bot is equipped with different responses to all sorts of questions such as : where to find the nearby drugstore ? the nearby restaurant ? the nearby gas station ? which are the process for a renewal of passport...etc...
When smartphones first came to the consumer market, most people enjoyed downloading apps, now the novelty has worn off most consumers don't download apps. So anyone can use Gindima without having the need to download it ! Just use it as a friend who knows everything!"
